post_title,post_link,post_type,posted_by,created_date,audience,impressions,views,clicks,click_through_rate_(ctr),likes,comments,reposts,engagement_rate
"At Women in Technology: Hollywood Foundation, we believe that true independence is built through connection, through mentoring, education, and shared purpose.

We champion women who rise, rebuild, and lead in the face of adversity, those creating impact behind the scenes and on the front lines of tech in entertainment.

Visit our site (link in comments section) to learn more about and join our community that uplifts and empowers.

#WiTHollywood #WomenInTech #CommunityPower #ResilientTogether",https://www.linkedin.com/feed/update/urn:li:activity:7346901939521036289,Organic,Talia Standring,2025-07-04,All followers,236,,16,0.06779661,11,1,2,0.127118647
"💄✨ When AI meets BEAUTY..... innovation gets personal.

In our latest episode of the WiTH Podcast, we sat down with Sowmya Gottipati of The Estée Lauder Companies Inc. to talk all things AI + Beauty Tech, from 30 lipstick try-ons in 30 seconds 💋💻 to reimagining the fragrance experience.

🎧 One of our favorite moments?
When Sowmya shares her “a-ha moment” with AI during the pandemic — when virtual fragrance trials made personalization not just possible, but powerful. 🧠✨
📲 Catch the full convo on YouTube (in the comments) & your favorite podcast app
🎙️ Hosted by Filiz Bahmanpour
🎥 And check out the reel on Instagram (in the comments) for a quick dose of insight + inspo!
Know someone who loves tech and beauty? Tag them. This one’s for them.

#WiTHPodcast #BeautyTech #AIxBeauty #FragranceInnovation #EsteeLauder #VirtualTryOn #WomenInTech #PodcastDrop #SeizingTheAIMoment #ConnectionCorner #InnovationInAction",https://www.linkedin.com/feed/update/urn:li:activity:7338750274099916801,Organic,Talia Standring,2025-06-12,All followers,305,84.0,13,0.04262295,4,4,0,0.068852462
"🌟 Community Spotlight! Yesterday, we had the privilege of joining an Advisory Workshop with Codetalk St. Joseph Center in Venice. For those unfamiliar, CodeTalk is a web technology vocational program supporting low-income, underemployed, and underserved women.

CodeTalk equips participants with the technical and professional skills needed to launch meaningful careers in tech.

Our session included:
 ✨ Career journey sharing & professional development tips
 💬 Open Q&A on job searching, resilience, and navigating opportunities
 💼 Resume feedback & workplace readiness guidance

This is just one way we are committed to empowering the next generation of women in tech through mentorship, support, and real-world insights

Huge thanks to our members April (Cadiente) Schneider, Kavita Anand, Miriam (Holzman) Sharman, Nadya Ichinomiya, and Talia Standring, and a special shoutout to Sharon Plunkett and the incredible team at CodeTalk for hosting such a meaningful and collaborative event.💻✨

 #WiTH #WomenInTech #Mentorship #CommunityEngagement #CodeTalk #CareerSupport #TechForGood #LiftAsYouClimb #NonProfitOrganizations #WomenHelpingWomen ",https://www.linkedin.com/feed/update/urn:li:activity:7336782552537473024,Organic,Talia Standring,2025-06-06,All followers,352,,33,0.09375,21,4,7,0.184659094
"🎙️💄 New episode drop from our #YouTube Channel! 

#AI is changing how we experience #beauty, from personalized skincare to fragrance mapping using brain receptors. In this must-listen episode, Sowmya Gottipati of Estée Lauder shares how AI is transforming beauty and sustainability.

From virtual try-ons to AI-powered fragrance design, hear how this global technology executive is pioneering AI in #luxury beauty.

Watch, Subscribe, Comment, and Share! 
https://lnkd.in/gXciUj-M

#WiTHPodcast #SeizingTheAIMoment #WomenInTech #BeautyTech #AITrailblazers #Sustainability #ConsumerExperience #AIGovernance #PersonalizedFragrance #PersonalizedSkincare #PersonalizedBeauty #AI #DigitalTransformation #ProfessionalDevelopment ",https://www.linkedin.com/feed/update/urn:li:activity:7333559547640324096,Organic,Talia Standring,2025-05-28,All followers,207,,10,0.048309177,7,0,1,0.086956523
"Honoring Our Heroes - Yesterday, Today, Always

As we reflect on Memorial Day, we pause to remember and honor the brave men and women who made the ultimate sacrifice in service to our country. 

Their courage and dedication will never be forgotten.

We are deeply grateful for the freedoms we enjoy because of their selfless service, and we carry their legacy forward in our work, our values, and our community.

We hope everyone had a meaningful Memorial Day, filled with love, reflection, and time well spent with family and friends. Let’s continue to honor our heroes by supporting one another and building a future rooted in unity, equity, and purpose. 💙❤️💜 

#MemorialDay #Gratitude #NeverForget #WomenInTech #WiTHCommunity",https://www.linkedin.com/feed/update/urn:li:activity:7333155449325715476,Organic,Talia Standring,2025-05-27,All followers,149,,1,0.006711409,10,0,0,0.073825501
"🌸 Happy Mother’s Day to all the strong, inspiring, and unstoppable moms out there - in our community and across the globe! 🌍💻

Whether you're leading teams, raising the next generation, innovating in your field, or doing all of the above (often at the same time) - we see you, we celebrate you, and we thank you. 

Your resilience, creativity, empathy, and leadership shape not only the future of technology but also the world. Today, we honor the balance you strike every day between code and care, meetings and milestones, deadlines and dinnertime.

To all the working moms, tech moms, mentor moms, and every kind of mom,  we appreciate all you do. 💐 #MothersDay #WomenInTech #ThankYouMoms #TechMoms #WIT #Leadership #Community #WomenInTechnologyHollywood",https://www.linkedin.com/feed/update/urn:li:activity:7327774095679332352,Organic,Talia Standring,2025-05-12,All followers,274,,2,0.00729927,11,0,1,0.05109489
"🎮🚀 We are on YouTube and are thrilled to launch our brand-new series, ""Seizing the A.I. Moment,"" where we celebrate the incredible women who are shaping the future of technology and innovation.

🌟 Episode 1 features the one and only iAsia Brown (aka Tech Picasso) a visionary leader at the forefront of AI’s transformation in the gaming world. From revolutionizing NPC behavior to unlocking global accessibility, iAsia is blending tech with creativity in ways that are nothing short of groundbreaking.

🎙️ Hosted by the brilliant Filiz Bahmanpour and Margarita Lam, this episode dives deep into the power of AI, creativity, and community in gaming. It’s a must-watch for anyone passionate about how tech is redefining the gaming landscape — and why it’s about so much more than just code.

👾 Don’t just watch the future of gaming unfold — become a part of it.
Watch now: https://lnkd.in/gtE-ySaT
#SeizingTheAIMoment #WomenInTech #AIandGaming #WiTHPodcast #GamingInnovation #AIForGood #WomenInSTEM #TechLeaders #GamingRevolution #WomenInTechnology #ArtificialIntelligence #DigitalTransformation #Digital #TechTrends #DiversityInTech #FutureOfGaming #WomenInGaming #WomenInAI #TechInnovation #GamingIndustry #MediaAndEntertainment #DigitalTechnology #WomenInMedia #TechTrailblazers #AIRevolution #WomenInDigital #GameChanger #TechCommunity",https://www.linkedin.com/feed/update/urn:li:activity:7325504670037147650,Organic,Talia Standring,2025-05-06,All followers,278,,14,0.050359711,7,1,2,0.086330935
"✨𝐌𝐨𝐧𝐝𝐚𝐲 𝐌𝐞𝐦𝐛𝐞𝐫 𝐒𝐩𝐨𝐭𝐥𝐢𝐠𝐡𝐭🔦 

Meet ️Talia Standring, our Head of Outreach and Communications!  

Talia is a powerhouse of passion, creativity, and leadership. With her commitment to fostering meaningful connections and empowering women in tech, she’s not only driving the success of our community, but she’s also paving the way for the next generation of leaders. 

We’re proud to have her leading the charge in creating spaces for women to thrive in technology and beyond. Let’s continue to encourage, inspire, and elevate each other to new heights. 

#womenleaders #womenintechnologyhollywood #professionaldevelopment #leadership #leaders #mentorship #encourage #inspire #community #networking #opportunity #WiTHmemberspotlight",https://www.linkedin.com/feed/update/urn:li:activity:7322762333859053568,Organic,Talia Standring,2025-04-28,All followers,269,,12,0.044609666,8,0,1,0.078066915
"Don't miss your chance to join the Knowledge Circles For Impact (KC4I) —our sister-brand’s mentorship program designed to elevate your career in the AI space.

Are you passionate about AI industry trends and ready to take the next step in your professional journey? 

Lead with confidence, build technical fluency, and develop forward-thinking strategies in a data-driven world. Go follow their page and apply now!",https://www.linkedin.com/feed/update/urn:li:activity:7320920228660477955,Organic,Talia Standring,2025-04-23,All followers,51,,3,0.05882353,5,0,1,0.176470593
"ONLY a few days left to apply to Knowledge Circles For Impact (KC4I)'s online mentorship program - 𝑨.𝑰. 𝑳𝒆𝒂𝒅𝒆𝒓𝒔𝒉𝒊𝒑 𝒂𝒏𝒅 𝑺𝒉𝒂𝒑𝒊𝒏𝒈 𝒕𝒉𝒆 𝑭𝒖𝒕𝒖𝒓𝒆. 

Excited to share an incredible opportunity for women looking to lead in the AI space!

🔹 𝐖𝐡𝐚𝐭: a mentorship program designed to empower women through collaborative learning, expert guidance, and community support.
 🔹 𝐖𝐡𝐨: Led by WiTH members and AI thought leaders from across the industry
 🔹 𝐇𝐨𝐰: Sponsored by WiTH - at no cost to participants
 🔹 𝐖𝐡𝐞𝐫𝐞: 100% virtual
 🔹 𝐖𝐡𝐞𝐧: Launching April 30, with 90-minute sessions every Wednesday at 5 PM PT

📅 Apply by April 23rd to secure your spot!
 🔗 Program details & application link in the comments. 

#AILeadership #WomenInTech #Mentorship #LeadershipDevelopment #CareerGrowth #AI #WomenInLeadership #TechMentorship #Innovation 
#ShapingTheFuture #ArtificialIntelligence #VirtualProgram #Mentoring #TechLeaders",https://www.linkedin.com/feed/update/urn:li:activity:7318684041249964032,Organic,Talia Standring,2025-04-17,All followers,344,,22,0.063953489,12,1,3,0.110465117
