Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
2025-01-01,10,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-01-02,39,0,39,20,1,0,1,2,0,2,0,0,0,0,0,0,0.07692307692307693,0,0.07692307692307693
2025-01-03,270,0,270,162,27,0,27,27,0,27,0,0,0,0,0,0,0.2,0,0.2
2025-01-04,71,0,71,45,2,0,2,4,0,4,0,0,0,0,0,0,0.08450704225352113,0,0.08450704225352113
2025-01-05,46,0,46,26,2,0,2,3,0,3,0,0,0,0,0,0,0.10869565217391304,0,0.10869565217391304
2025-01-06,95,0,95,49,10,0,10,4,0,4,0,0,0,0,0,0,0.14736842105263157,0,0.14736842105263157
2025-01-07,27,0,27,16,3,0,3,0,0,0,0,0,0,0,0,0,0.1111111111111111,0,0.1111111111111111
2025-01-08,19,0,19,11,1,0,1,0,0,0,0,0,0,0,0,0,0.05263157894736842,0,0.05263157894736842
2025-01-09,12,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-01-10,25,0,25,15,0,0,0,1,0,1,0,0,0,0,0,0,0.04,0,0.04
2025-01-11,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-01-12,8,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-01-13,13,0,13,8,0,0,0,1,0,1,0,0,0,0,0,0,0.07692307692307693,0,0.07692307692307693
2025-01-14,29,0,29,12,3,0,3,1,0,1,0,0,0,0,0,0,0.13793103448275862,0,0.13793103448275862
2025-01-15,419,0,419,252,8,0,8,23,0,23,0,0,0,1,0,1,0.07637231503579953,0,0.07637231503579953
2025-01-16,178,0,178,112,3,0,3,6,0,6,0,0,0,0,0,0,0.05056179775280899,0,0.05056179775280899
2025-01-17,80,0,80,42,4,0,4,2,0,2,0,0,0,0,0,0,0.075,0,0.075
2025-01-18,31,0,31,25,0,0,0,1,0,1,0,0,0,0,0,0,0.03225806451612903,0,0.03225806451612903
2025-01-19,43,0,43,25,3,0,3,2,0,2,0,0,0,0,0,0,0.11627906976744186,0,0.11627906976744186
2025-01-20,19,0,19,15,3,0,3,0,0,0,0,0,0,0,0,0,0.15789473684210525,0,0.15789473684210525
2025-01-21,28,0,28,20,1,0,1,2,0,2,0,0,0,0,0,0,0.10714285714285714,0,0.10714285714285714
2025-01-22,53,0,53,19,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-01-23,35,0,35,15,1,0,1,2,0,2,0,0,0,0,0,0,0.08571428571428572,0,0.08571428571428572
2025-01-24,17,0,17,13,0,0,0,2,0,2,0,0,0,0,0,0,0.11764705882352941,0,0.11764705882352941
2025-01-25,8,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-01-26,20,0,20,11,1,0,1,0,0,0,0,0,0,0,0,0,0.05,0,0.05
2025-01-27,18,0,18,9,1,0,1,0,0,0,0,0,0,0,0,0,0.05555555555555555,0,0.05555555555555555
2025-01-28,15,0,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-01-29,12,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-01-30,13,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-01-31,217,0,217,112,51,0,51,17,0,17,2,0,2,1,0,1,0.3271889400921659,0,0.3271889400921659
2025-02-01,767,0,767,270,47,0,47,17,0,17,2,0,2,0,0,0,0.08604954367666232,0,0.08604954367666232
2025-02-02,153,0,153,96,10,0,10,6,0,6,0,0,0,0,0,0,0.10457516339869281,0,0.10457516339869281
2025-02-03,158,0,158,90,13,0,13,5,0,5,0,0,0,0,0,0,0.11392405063291139,0,0.11392405063291139
2025-02-04,97,0,97,58,10,0,10,3,0,3,1,0,1,2,0,2,0.16494845360824742,0,0.16494845360824742
2025-02-05,111,0,111,58,24,0,24,4,0,4,0,0,0,0,0,0,0.25225225225225223,0,0.25225225225225223
2025-02-06,232,0,232,154,16,0,16,14,0,14,2,0,2,1,0,1,0.14224137931034483,0,0.14224137931034483
2025-02-07,65,0,65,44,0,0,0,2,0,2,0,0,0,0,0,0,0.03076923076923077,0,0.03076923076923077
2025-02-08,25,0,25,21,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-09,70,0,70,43,8,0,8,2,0,2,2,0,2,0,0,0,0.17142857142857143,0,0.17142857142857143
2025-02-10,42,0,42,31,1,0,1,2,0,2,0,0,0,0,0,0,0.07142857142857142,0,0.07142857142857142
2025-02-11,375,0,375,205,12,0,12,18,0,18,3,0,3,1,0,1,0.09066666666666667,0,0.09066666666666667
2025-02-12,81,0,81,55,2,0,2,2,0,2,0,0,0,-1,0,-1,0.037037037037037035,0,0.037037037037037035
2025-02-13,38,0,38,31,6,0,6,1,0,1,0,0,0,0,0,0,0.18421052631578946,0,0.18421052631578946
2025-02-14,51,0,51,34,3,0,3,1,0,1,0,0,0,0,0,0,0.0784313725490196,0,0.0784313725490196
2025-02-15,16,0,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-16,18,0,18,13,2,0,2,2,0,2,0,0,0,0,0,0,0.2222222222222222,0,0.2222222222222222
2025-02-17,35,0,35,27,2,0,2,1,0,1,0,0,0,0,0,0,0.08571428571428572,0,0.08571428571428572
2025-02-18,63,0,63,40,8,0,8,2,0,2,0,0,0,0,0,0,0.15873015873015872,0,0.15873015873015872
2025-02-19,52,0,52,29,3,0,3,0,0,0,0,0,0,0,0,0,0.057692307692307696,0,0.057692307692307696
2025-02-20,25,0,25,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
